maison;house;;basic, surrounding
appartement;apartment;;basic, surrounding
hôtel;hotel;;basic, surrounding
musée;museum;;basic, surrounding
plage;beach;;basic, surrounding
forêt;forest;;basic, surrounding
montagne;mountain;;basic, surrounding
parc;park;;basic, surrounding
rivière;river;;basic, surrounding
mer;sea;;basic, surrounding
lac;lake;;basic, surrounding
temps;weather;;basic, surrounding
soleil ;sun ;;basic, surrounding
pluie;rain;;basic, surrounding
neige;snow;;basic, surrounding
orage;thunderstorm;;basic, surrounding
